2000076799:025305,910315,1028020,10,30-15232,51330 SETA 1194 - 24220,6/2/2013,RAJIKAS,8/17/2013,"1,000",M,,98,C
Aw PO,910866,1028021,10,30-20455,A&E YARN DYED - A&E,6/3/2013,RAJIKAS,8/17/2013,"5,070",KG,,,C
4800347489,910002,1028022,10,30-19670,53002 BLACK J1X - 34335,6/3/2013,LAKMALIH,6/26/2013,"3,260",M,,,C
4800347489,910002,1028022,10,30-19670,53002 BLACK J1X - 34335,6/3/2013,LAKMALIH,6/27/2013,"10,000",M,,,C
4800347489,910002,1028022,10,30-19670,53002 BLACK J1X - 34335,6/3/2013,LAKMALIH,6/28/2013,0,M,,,C
4800347489,910002,1028022,10,30-19670,53002 BLACK J1X - 34335,6/3/2013,LAKMALIH,6/30/2013,0,M,,,C
4800347489,910002,1028022,20,30-19668,53002 BLUE NUIT 19 3925TCX - 32685,6/3/2013,LAKMALIH,6/27/2013,550,M,,,C
4800347489,910002,1028022,20,30-19668,53002 BLUE NUIT 19 3925TCX - 32685,6/3/2013,LAKMALIH,6/22/2013,"1,000",M,,98,C
4800347489,910002,1028022,40,30-19671,53002 GRIS - 32480,6/3/2013,LAKMALIH,6/21/2013,"1,100",M,,,C
4800347489,910002,1028022,40,30-19671,53002 GRIS - 32480,6/3/2013,LAKMALIH,6/22/2013,0,M,,,C
4800347489,910002,1028022,40,30-19671,53002 GRIS - 32480,6/3/2013,LAKMALIH,6/23/2013,0,M,,,C
4800347489,910002,1028022,30,30-20357,53002 RIO RED (19 1656TCX) - 34834,6/3/2013,LAKMALIH,6/27/2013,550,M,,,C
4800347489,910002,1028022,30,30-20357,53002 RIO RED (19 1656TCX) - 34834,6/3/2013,LAKMALIH,6/22/2013,"1,000",M,,98,C
4800347489,910002,1028022,50,30-21271,53002 WHITE JIY - 35154,6/3/2013,LAKMALIH,6/20/2013,"1,100",M,,,C
6067,910665,1028023,20,30-21329,"54512 LIGHT CREAM  30341B ""F/T"" - 35984",7/12/2013,NILANA,8/17/2013,371,M,7,,A
6067,910665,1028023,10,30-21329,54512 LIGHT CREAM  MSCI30341B - 35984,6/3/2013,NILANA,7/4/2013,"1,300",M,,,C
6067,910665,1028023,10,30-21329,54512 LIGHT CREAM  MSCI30341B - 35984,6/3/2013,NILANA,7/11/2013,"4,000",M,,,C
6067,910665,1028023,10,30-21329,54512 LIGHT CREAM  MSCI30341B - 35984,6/3/2013,NILANA,7/18/2013,"3,600",M,,,C
4800347138,910002,1028024,20,30-18689,54391 BLACK - 32762,6/3/2013,LAKMALIH,6/20/2013,"2,718",M,7,,B
4800347138,910002,1028024,20,30-18689,54391 BLACK - 32762,6/3/2013,LAKMALIH,7/18/2013,0,M,7,,B
4800347138,910002,1028024,20,30-18689,54391 BLACK - 32762,6/3/2013,LAKMALIH,7/6/2013,0,M,7,,B
4800347138,910002,1028024,70,30-21273,54391 BLEU OUTREMER 19 3952TCX - 34508,6/3/2013,LAKMALIH,7/4/2013,"2,725",M,,,C
4800347138,910002,1028024,80,30-21274,54391 CYAN BLUE 16 4529TCX - 34991,6/3/2013,LAKMALIH,7/4/2013,"2,725",M,,,C
4800347138,910002,1028024,80,30-21274,54391 CYAN BLUE 16 4529TCX - 34991,6/3/2013,LAKMALIH,7/10/2013,0,M,,,C
4800347138,910002,1028024,60,30-18700,54391 GRIS KEQ 17 0000 TCX - 32967,6/3/2013,LAKMALIH,6/20/2013,"2,530",M,,,C
4800347138,910002,1028024,60,30-18700,54391 GRIS KEQ 17 0000 TCX - 32967,6/3/2013,LAKMALIH,7/6/2013,0,M,,,C
4800347138,910002,1028024,60,30-18700,54391 GRIS KEQ 17 0000 TCX - 32967,6/3/2013,LAKMALIH,7/10/2013,0,M,,,C
4800347138,910002,1028024,40,30-18688,54391 JAUNE ( YELLOW) 14 0957TCX - 32737,6/3/2013,LAKMALIH,6/20/2013,870,M,,,C
4800347138,910002,1028024,30,30-18690,54391 PATRIOT BLEU 19 392 - 32763,6/3/2013,LAKMALIH,6/27/2013,955,M,,,C
4800347138,910002,1028024,30,30-18690,54391 PATRIOT BLEU 19 392 - 32763,6/3/2013,LAKMALIH,7/10/2013,0,M,,,C
4800347138,910002,1028024,50,30-18693,54391 RIO RED 19 1656 TCX - 32786,6/3/2013,LAKMALIH,6/20/2013,700,M,,,C
4800347138,910002,1028024,50,30-18693,54391 RIO RED 19 1656 TCX - 32786,6/3/2013,LAKMALIH,6/22/2013,"1,780",M,,,C
4800347138,910002,1028024,50,30-18693,54391 RIO RED 19 1656 TCX - 32786,6/3/2013,LAKMALIH,7/24/2013,0,M,,,C
4800347138,910002,1028024,10,30-18699,54391 WHITE - 32831,6/3/2013,LAKMALIH,6/20/2013,"2,670",M,7,,B
4800347138,910002,1028024,10,30-18699,54391 WHITE - 32831,6/3/2013,LAKMALIH,7/24/2013,0,M,7,,B
4800347138,910002,1028024,10,30-18699,54391 WHITE - 32831,6/3/2013,LAKMALIH,7/6/2013,0,M,7,,B
4800347138,910002,1028024,10,30-18699,54391 WHITE - 32831,6/3/2013,LAKMALIH,7/10/2013,0,M,7,,B
kpo00078806,910625,1028025,10,30-19274,54309 WHITE - 33874,6/3/2013,NILANA,6/20/2013,600,M,,,B
kpo00078806,910625,1028025,10,30-19274,54309 WHITE - 33874,6/3/2013,NILANA,6/22/2013,"1,320",M,,,B
kpo00078806,910625,1028025,10,30-19274,54309 WHITE - 33874,6/3/2013,NILANA,6/24/2013,0,M,,,B
